iter	RMSE
0	1.754076362
1	1.728213893
2	1.703088882
3	1.67918919
4	1.656777464
5	1.634650633
6	1.613259327
7	1.593362189
8	1.57336572
9	1.554901704
10	1.536995581
11	1.519563837
12	1.503200534
13	1.487786513
14	1.472688066
15	1.458376376
16	1.444162366
17	1.43160384
18	1.419718031
19	1.407743265
20	1.396595256
21	1.385875339
22	1.375276901
23	1.365427975
24	1.355973467
25	1.34729841
26	1.338419255
27	1.330383402
28	1.322390807
29	1.314684599
30	1.307374763
31	1.299744088
32	1.293188636
33	1.285701197
34	1.278706338
35	1.271801205
36	1.264598314
37	1.258580103
38	1.25245004
39	1.246424187
40	1.240395725
41	1.235344805
42	1.23024751
43	1.224769536
44	1.220005572
45	1.215931236
46	1.211697762
47	1.207665029
48	1.203726419
49	1.199964488
50	1.196113886
51	1.192459813
52	1.189151151
53	1.185979114
54	1.182923768
55	1.179389732
56	1.176539354
57	1.173776961
58	1.170941788
59	1.168194474
60	1.165846931
61	1.163701371
62	1.161588832
63	1.159617661
64	1.157130306
65	1.154787594
66	1.152731063
67	1.15087306
68	1.149062886
69	1.147111687
70	1.144992423
71	1.142861739
72	1.141196078
73	1.139574161
74	1.138196221
75	1.136890142
76	1.135357341
77	1.134001519
78	1.132115902
79	1.13082106
80	1.12923025
81	1.127831309
82	1.126228189
83	1.124762367
84	1.123537452
85	1.122328408
86	1.121018816
87	1.11962636
88	1.118301366
89	1.117272949
90	1.116336998
91	1.115081414
92	1.11414297
93	1.113063829
94	1.112142595
95	1.110895858
96	1.109847234
97	1.109072753
98	1.108124507
99	1.107051108
100	1.106135248
101	1.105195468
102	1.104270027
103	1.103406711
104	1.102379357
105	1.101632271
106	1.100526899
107	1.099327564
108	1.098354155
109	1.097444559
110	1.09658648
111	1.095632642
112	1.094648427
113	1.093890277
114	1.093090489
115	1.092511979
116	1.091829595
117	1.090930287
118	1.090113853
119	1.089219757
120	1.088426788
121	1.087861493
122	1.086976894
123	1.086460329
124	1.085708596
125	1.084944434
126	1.084213836
127	1.083736666
128	1.082890361
129	1.082079947
130	1.08131827
131	1.080601142
132	1.079818622
133	1.078907013
134	1.078175333
135	1.077432932
136	1.076692515
137	1.075833525
138	1.075224075
139	1.074546069
140	1.074005475
141	1.073348651
142	1.07281223
143	1.071976862
144	1.071375538
145	1.070738819
146	1.069804246
147	1.069022431
148	1.068420509
149	1.067973785
150	1.067130481
151	1.066588132
152	1.065898226
153	1.065438533
154	1.064813217
155	1.063914178
156	1.063311579
157	1.062755284
158	1.06226966
159	1.061649125
160	1.060935725
161	1.060318989
162	1.059835526
