iter	Passed	Remaining
0	104	10442104
1	127	6373654
2	148	4954372
3	170	4260167
4	193	3869354
5	215	3595837
6	238	3403858
7	261	3263679
8	281	3129292
9	307	3073371
10	335	3048118
11	363	3032367
12	386	2975818
13	408	2915753
14	432	2884293
15	453	2835248
16	476	2799605
17	499	2777234
18	521	2742619
19	543	2715048
20	565	2692271
21	586	2664653
22	609	2649269
23	632	2633869
24	654	2617589
25	688	2649133
26	726	2691398
27	763	2726715
28	800	2758953
29	830	2767089
30	857	2764526
31	884	2763971
32	916	2777306
33	941	2769294
34	963	2751370
35	985	2736239
36	1008	2723486
37	1028	2705296
38	1050	2691705
39	1074	2684066
40	1095	2671082
41	1114	2653364
42	1140	2650121
43	1161	2639607
44	1183	2627996
45	1206	2622380
46	1228	2612204
47	1249	2601218
48	1271	2594259
49	1293	2585262
50	1314	2576330
51	1337	2571530
52	1360	2565896
53	1382	2559091
54	1409	2562112
55	1432	2557400
56	1459	2559139
57	1483	2556758
58	1508	2555843
59	1533	2554838
60	1556	2550383
61	1577	2542340
62	1599	2536937
63	1620	2530016
64	1642	2525758
65	1665	2521399
66	1689	2519621
67	1710	2513939
68	1732	2509053
69	1754	2504045
70	1776	2500304
71	1799	2497192
72	1821	2493286
73	1843	2489049
74	1865	2485826
75	1887	2481523
76	1908	2477256
77	1931	2473882
78	1954	2472235
79	1979	2472976
80	2005	2473697
81	2030	2474789
82	2055	2473878
83	2081	2475891
84	2105	2474891
85	2128	2472544
86	2150	2470117
87	2174	2469360
88	2195	2464152
89	2217	2461193
90	2239	2458308
91	2260	2454774
92	2283	2452870
93	2304	2449769
94	2327	2447335
95	2349	2445235
96	2371	2442256
97	2395	2442163
98	2416	2438471
99	2438	2436543
100	2458	2432158
101	2480	2429687
102	2502	2427362
103	2524	2424836
104	2546	2422993
105	2569	2421237
106	2590	2417996
107	2612	2416812
108	2635	2415612
109	2657	2413445
110	2695	2426007
111	2732	2436882
112	2771	2449799
113	2809	2461703
114	2840	2466792
115	2870	2471482
116	2898	2474757
117	2923	2474986
118	2946	2472837
119	2973	2474989
120	2998	2475244
121	3022	2474219
122	3046	2473977
123	3072	2474859
124	3095	2473509
125	3122	2475151
126	3145	2474004
127	3172	2475052
128	3197	2475318
129	3221	2474756
130	3245	2474002
131	3269	2473432
132	3293	2473326
133	3320	2474310
134	3341	2471961
135	3364	2470216
136	3391	2472516
137	3414	2471096
138	3439	2471204
139	3462	2469937
140	3484	2467967
141	3506	2465990
142	3529	2464863
143	3551	2462627
144	3571	2459817
145	3595	2458920
146	3618	2457865
147	3639	2455182
148	3661	2453903
149	3685	2453416
150	3706	2451241
151	3729	2450194
152	3753	2449480
153	3775	2447532
154	3800	2448032
155	3824	2447473
156	3847	2446887
157	3870	2446085
158	3892	2444055
159	3919	2445637
160	3941	2444252
161	3965	2444120
162	3987	2442587
