iter	RMSE
0	1.757238411
1	1.748725945
2	1.740105572
3	1.731542523
4	1.723027083
5	1.714880625
6	1.706318016
7	1.697955791
8	1.690244487
9	1.682245763
10	1.674333291
11	1.666432684
12	1.658625677
13	1.651505686
14	1.644031993
15	1.636714743
16	1.629477824
17	1.622535348
18	1.615273621
19	1.608286846
20	1.601310402
21	1.594532032
22	1.587667461
23	1.580942385
24	1.574476699
25	1.568200347
26	1.561513306
27	1.555067268
28	1.548891109
29	1.543061993
30	1.537018742
31	1.530890447
32	1.525405476
33	1.519448526
34	1.514168771
35	1.508482364
36	1.50284294
37	1.497341844
38	1.491942115
39	1.486339305
40	1.48118204
41	1.475793497
42	1.470932177
43	1.466249401
44	1.461004348
45	1.456131509
46	1.450936006
47	1.445778151
48	1.441262529
49	1.436443901
50	1.431841832
51	1.427434226
52	1.42285993
53	1.418537757
54	1.414185719
55	1.40980632
56	1.405787734
57	1.401600461
58	1.397444397
59	1.39327194
60	1.389023443
61	1.385267862
62	1.381429618
63	1.377585219
64	1.373923043
65	1.369935087
66	1.366206727
67	1.362539316
68	1.358632131
69	1.355289093
70	1.351674609
71	1.34853035
72	1.345058675
73	1.341474547
74	1.338286926
75	1.335283324
76	1.33204521
77	1.329086907
78	1.325734082
79	1.322697317
80	1.319698456
81	1.316479114
82	1.313394958
83	1.3103372
84	1.307336606
85	1.30418613
86	1.301520369
87	1.298739804
88	1.295729036
89	1.292778119
90	1.290029966
91	1.287528085
92	1.284871831
93	1.28243484
94	1.279655941
95	1.276924604
96	1.274410024
97	1.271926524
98	1.269499293
99	1.267099593
100	1.264762545
101	1.262508917
102	1.260181626
103	1.257726403
104	1.255329859
105	1.253039869
106	1.250773378
107	1.248481927
108	1.246258616
109	1.244133759
110	1.241966454
111	1.239760572
112	1.237571334
113	1.235603727
114	1.233665995
115	1.231725053
116	1.229896469
117	1.227836579
118	1.225870115
119	1.223754344
120	1.221736256
121	1.220081728
122	1.218135983
123	1.216277428
124	1.214457627
125	1.212716137
126	1.211047059
127	1.209294307
128	1.207645626
129	1.20607898
130	1.204476696
131	1.202765984
132	1.201188312
133	1.199391322
134	1.197743385
135	1.196264062
136	1.194460371
137	1.192958952
138	1.191582935
139	1.189991702
140	1.188620741
141	1.187177074
142	1.185817259
143	1.183975558
144	1.1825514
145	1.180943278
146	1.179449413
147	1.178016945
148	1.176540734
149	1.175073683
150	1.173586421
151	1.172121373
152	1.170813441
153	1.169435683
154	1.168074058
155	1.166814859
156	1.165585101
157	1.164507331
158	1.163253609
159	1.161972705
160	1.160656998
161	1.159570091
162	1.158337498
163	1.157147297
164	1.156079083
165	1.154694885
166	1.153554391
167	1.152563164
168	1.151363288
169	1.150042616
170	1.149071717
171	1.148086908
172	1.147181488
173	1.146307417
174	1.145162358
175	1.144108343
176	1.143177523
177	1.142009234
178	1.140998714
179	1.140003577
180	1.138889544
181	1.137964989
182	1.13694295
183	1.135977785
184	1.135099714
185	1.134141002
186	1.133188946
187	1.132131655
188	1.131068296
189	1.13015594
190	1.129365955
191	1.12838828
192	1.127222854
193	1.126170075
194	1.125121936
195	1.124283072
196	1.12306512
197	1.122148884
198	1.121337366
199	1.120430338
200	1.119606368
201	1.118801471
202	1.117878706
203	1.117079589
204	1.116164136
205	1.115358176
206	1.1145975
207	1.113723355
208	1.11285501
209	1.111812442
210	1.111156124
211	1.110301789
212	1.109373312
213	1.108573316
214	1.107611398
215	1.106587198
216	1.105762328
217	1.105065759
218	1.104342385
219	1.103453005
220	1.102350373
221	1.101617664
222	1.100639696
223	1.099626463
224	1.098795486
225	1.097836531
226	1.096902558
227	1.095974088
228	1.095032337
229	1.094160263
230	1.093315249
231	1.092463941
232	1.091614209
233	1.090746517
234	1.089960968
235	1.089021788
236	1.088245259
237	1.087587826
238	1.086756092
239	1.085910497
240	1.08516128
241	1.084367934
242	1.083589521
243	1.082932387
244	1.082096973
245	1.081318839
246	1.080592123
247	1.07994929
248	1.079150389
249	1.078388457
250	1.077700564
251	1.077071747
252	1.076324495
253	1.075617841
254	1.0749243
255	1.074302602
256	1.073716207
257	1.072912472
258	1.072179456
259	1.071574006
260	1.070993705
261	1.070325837
262	1.069559065
263	1.068902667
264	1.068403524
265	1.067710173
266	1.067057277
267	1.066401083
268	1.065765586
