iter	Passed	Remaining
0	120	1202193
1	242	1210071
2	365	1219063
3	488	1221615
4	609	1219314
5	729	1215801
6	851	1216097
7	973	1216095
8	1094	1214520
9	1216	1215492
10	1351	1227632
11	1504	1252500
12	1640	1260552
13	1767	1260444
14	1888	1256926
15	2008	1253358
16	2128	1250162
17	2251	1248625
18	2377	1249039
19	2499	1247074
20	2620	1245419
21	2740	1243137
22	2863	1241957
23	2983	1239965
24	3104	1238678
25	3222	1236350
26	3374	1246318
27	3518	1253114
28	3650	1255187
29	3774	1254329
30	3895	1252838
31	4015	1250791
32	4137	1249556
33	4256	1247726
34	4377	1246434
35	4500	1245678
36	4622	1244764
37	4744	1243803
38	4864	1242470
39	4986	1241517
40	5107	1240686
41	5237	1241768
42	5383	1246526
43	5523	1249849
44	5655	1251146
45	5778	1250411
46	5898	1249055
47	6019	1248050
48	6141	1247222
49	6262	1246167
50	6383	1245212
51	6504	1244266
52	6623	1243126
53	6746	1242566
54	6868	1241879
55	6990	1241275
56	7113	1240822
57	7238	1240724
58	7375	1242722
59	7534	1248139
60	7668	1249392
61	7789	1248581
62	7910	1247802
63	8032	1247012
64	8154	1246432
65	8277	1245829
66	8399	1245191
67	8519	1244378
68	8640	1243584
69	8762	1243009
70	8881	1242092
71	9002	1241296
72	9121	1240414
73	9253	1241270
74	9408	1245080
75	9547	1246647
76	9676	1246999
77	9796	1246143
78	9917	1245406
79	10040	1245046
80	10162	1244426
81	10284	1243972
82	10407	1243498
83	10528	1242882
84	10650	1242302
85	10771	1241686
86	10891	1240984
87	11012	1240386
88	11134	1239878
89	11269	1240895
90	11422	1243743
91	11561	1245164
92	11694	1245760
93	11815	1245113
94	11935	1244425
95	12057	1243928
96	12177	1243267
97	12300	1242830
98	12421	1242257
99	12543	1241833
100	12663	1241169
101	12785	1240646
102	12905	1240019
103	13027	1239630
104	13150	1239244
105	13276	1239212
106	13403	1239226
107	13556	1241662
108	13689	1242231
109	13812	1241828
110	13932	1241223
111	14052	1240641
112	14172	1240042
113	14295	1239737
114	14416	1239153
115	14536	1238594
116	14656	1238036
117	14779	1237725
118	14899	1237199
119	15022	1236830
120	15143	1236408
121	15272	1236535
122	15410	1237492
123	15556	1239007
124	15688	1239356
125	15808	1238806
126	15931	1238542
127	16054	1238230
128	16177	1237914
129	16301	1237660
130	16423	1237272
131	16543	1236744
132	16664	1236278
133	16786	1235921
134	16907	1235490
135	17028	1235055
136	17149	1234656
137	17277	1234705
138	17415	1235498
139	17560	1236781
140	17690	1236950
141	17811	1236534
142	17933	1236155
143	18054	1235709
144	18176	1235398
145	18299	1235109
146	18421	1234735
147	18543	1234364
148	18663	1233933
149	18785	1233610
150	18907	1233253
151	19029	1232923
152	19150	1232527
153	19277	1232519
154	19438	1234659
155	19573	1235126
156	19705	1235398
157	19825	1234955
158	19946	1234525
159	20065	1234017
160	20186	1233619
161	20307	1233243
162	20431	1233025
163	20552	1232669
164	20674	1232337
165	20797	1232043
166	20915	1231519
167	21034	1231037
168	21161	1230985
169	21293	1231272
170	21447	1232799
171	21582	1233207
172	21710	1233203
173	21831	1232870
174	21954	1232574
175	22077	1232300
176	22196	1231864
177	22320	1231650
178	22442	1231337
179	22565	1231061
180	22688	1230844
181	22809	1230460
182	22931	1230149
183	23052	1229812
184	23174	1229481
185	23306	1229705
186	23468	1231506
187	23604	1231959
188	23727	1231718
189	23849	1231366
190	23969	1230968
191	24091	1230661
192	24216	1230499
193	24336	1230143
194	24459	1229877
195	24582	1229625
196	24706	1229407
197	24828	1229143
198	24949	1228782
199	25071	1228484
200	25192	1228161
201	25340	1229119
202	25492	1230277
203	25622	1230389
204	25747	1230219
205	25868	1229868
206	25989	1229527
207	26109	1229145
208	26229	1228768
209	26351	1228486
210	26471	1228124
211	26593	1227797
212	26713	1227453
213	26836	1227189
214	26957	1226866
215	27078	1226574
216	27201	1226320
217	27338	1226708
218	27487	1227669
219	27622	1227941
220	27747	1227813
221	27870	1227540
222	27990	1227210
223	28112	1226896
224	28232	1226542
225	28354	1226267
226	28474	1225911
227	28596	1225622
228	28716	1225299
229	28838	1224999
230	28958	1224658
231	29077	1224248
232	29198	1223936
233	29340	1224540
234	29487	1225306
235	29620	1225470
236	29740	1225140
237	29861	1224829
238	29983	1224559
239	30103	1224224
240	30225	1223937
241	30345	1223600
242	30469	1223429
243	30589	1223082
244	30711	1222822
245	30835	1222626
246	30958	1222409
247	31078	1222106
248	31201	1221873
249	31343	1222384
250	31490	1223125
251	31624	1223318
252	31748	1223133
253	31870	1222877
254	31992	1222598
255	32112	1222269
256	32231	1221903
257	32352	1221608
258	32473	1221344
259	32592	1220978
260	32713	1220674
261	32836	1220467
262	32957	1220189
263	33078	1219911
264	33199	1219605
265	33358	1220728
266	33496	1221057
267	33625	1221074
268	33746	1220752
269	33868	1220515
270	33989	1220230
271	34111	1219987
272	34235	1219799
273	34355	1219505
274	34476	1219205
275	34596	1218902
276	34718	1218665
277	34839	1218385
278	34961	1218125
279	35081	1217830
280	35205	1217645
281	35348	1218140
282	35493	1218700
283	35626	1218834
284	35754	1218775
285	35873	1218438
286	35993	1218138
287	36113	1217814
288	36236	1217616
289	36358	1217380
290	36481	1217165
291	36602	1216900
292	36722	1216617
293	36843	1216330
294	36964	1216078
295	37086	1215825
296	37211	1215714
297	37348	1215964
298	37499	1216650
299	37633	1216823
300	37754	1216559
301	37876	1216301
302	37998	1216090
303	38117	1215761
304	38240	1215543
305	38363	1215348
306	38483	1215037
307	38603	1214748
308	38725	1214530
309	38848	1214324
310	38971	1214122
311	39092	1213876
312	39221	1213865
313	39380	1214771
314	39514	1214922
315	39645	1214957
316	39767	1214742
317	39888	1214459
318	40008	1214172
319	40128	1213879
320	40250	1213672
321	40371	1213400
322	40492	1213135
323	40614	1212906
324	40735	1212663
325	40857	1212443
326	40980	1212243
327	41101	1211983
328	41233	1212051
329	41370	1212286
330	41519	1212838
331	41651	1212900
332	41773	1212676
333	41894	1212435
334	42014	1212143
335	42134	1211858
336	42256	1211651
337	42375	1211341
338	42496	1211073
339	42616	1210821
340	42739	1210611
341	42860	1210373
342	42980	1210103
343	43101	1209855
344	43234	1209944
345	43376	1210277
346	43524	1210783
347	43654	1210785
348	43774	1210512
349	43895	1210272
350	44017	1210039
351	44138	1209797
352	44263	1209654
353	44382	1209363
354	44502	1209089
355	44622	1208809
356	44744	1208604
357	44864	1208334
358	44984	1208055
